"","Body_type","number_of_seats","length_mm","curb_weight_kg","maximum_torque_n_m","injection_type","cylinder_layout","number_of_cylinders","compression_ratio","engine_type","valves_per_cylinder","boost_type","engine_placement","engine_hp","drive_wheels","number_of_gears","transmission","fuel_grade","Fuel_Economy"
"3",1,"2","4420","1440","434",41,53,8,9,16,2,9,9,260,29,4,35,"95",8
"10",2,"4","4660","1615","407",42,53,8,9,16,4,9,9,354,29,6,36,"95",13.4
"12",2,"4","4660","1615","427",42,53,8,9,16,4,9,9,326,29,5,36,"98",12.2
"13",3,"2","4155","1155","407",42,53,8,9,16,2,9,9,228,29,5,36,"95",14.4
"16",3,"2","4115","980","579",43,53,8,9,16,2,9,9,370,29,5,36,"95",15.7
"37",2,"5","4380","1225","172",41,54,4,9,16,4,9,9,144,30,4,35,"92",8.5
"38",2,"5","4380","1225","172",41,54,4,9,16,4,9,9,144,30,5,36,"92",8.5
"39",2,"5","4380","1235","173",41,54,4,9,16,4,9,9,172,30,5,36,"95",8.4
"40",2,"5","4380","1220","178",41,54,4,9,16,4,9,9,190,30,5,36,"95",8.8
"41",2,"5","4380","1220","176",41,54,4,9,16,4,9,9,197,30,5,36,"95",8.6
"50",4,"5","4525","1190","173",41,54,4,9,16,4,9,9,144,30,4,35,"80",8.4
"51",4,"5","4525","1190","173",41,54,4,9,16,4,9,9,144,30,5,36,"80",8.4
"52",4,"5","4525","1275","173",41,54,4,9,16,4,9,9,172,30,5,36,"95",8.6
"55",5,"5","4788","1963","332",42,53,6,9,16,4,9,9,240,31,5,35,"92",13.2
"60",5,"7","4844","2059","375",42,53,6,9,16,4,9,9,304,32,5,35,"92",12.1
"61",5,"7","4935","2039","355",44,53,6,9,16,4,9,9,290,31,6,35,"95",10.4
"65",1,"2","4425","1425","284",41,53,6,9,16,4,9,9,274,29,5,36,"95",10
"69",2,"2","4425","1410","284",42,53,6,9,16,4,9,9,255,29,5,36,"95",10
