"","left daughter","right daughter","split var","split point","status","prediction"
"1",2,3,"engine_hp",44.5,-3,8.98577345427334
"2",4,5,"Year_from",1956.5,-3,8.7645769726705
"3",6,7,"acceleration_0_100_km.h_s",24.9,-3,8.98690007542197
"4",8,9,"mixed_fuel_consumption_per_100_km_l",9.49918203755124,-3,8.36666666666667
"5",10,11,"X",69883.5,-3,8.82280774915886
"6",12,13,"X",15483.5,-3,8.98721998110124
"7",14,15,"turnover_of_maximum_torque_rpm",2.5,-3,8.34547527954759
"8",16,17,"engine_hp",17.5,-3,8.09523809523809
"9",18,19,"X",69010.5,-3,9
"10",20,21,"cylinder_bore_mm",67,-3,8.83918203272421
"11",0,0,NA,0,-1,8
"12",22,23,"Year_from",1954.5,-3,8.9958627825486
"13",24,25,"number_of_gears",4.41703454789045,-3,8.98462687265808
"14",26,27,"engine_hp",47.5,-3,8.125
"15",28,29,"acceleration_0_100_km.h_s",25.1,-3,8.84941877565636
"16",0,0,NA,0,-1,9
"17",30,31,"maximum_torque_n_m",5.5,-3,8
"18",0,0,NA,0,-1,9
"19",32,33,"mixed_fuel_consumption_per_100_km_l",0,-3,9
"20",34,35,"Year_from",1993,-3,8.66666666666667
"21",36,37,"turnover_of_maximum_torque_rpm",2.5,-3,8.89330450050697
"22",38,39,"length_mm",3.5,-3,8.80761387032983
"23",40,41,"fuel_tank_capacity_l",5.8491627506784,-3,8.9968406527953
"24",42,43,"turnover_of_maximum_torque_rpm",2.5,-3,8.96641820353327
"25",44,45,"turnover_of_maximum_torque_rpm",3.64475880666011,-3,8.99052764774455
"26",0,0,NA,0,-1,9
"27",46,47,"number_of_gears",2.5,-3,7.92307692307692
"28",0,0,NA,0,-1,8
"29",48,49,"length_mm",3.5,-3,8.99098857159908
"30",50,51,"length_mm",0,-3,8
"31",52,53,"mixed_fuel_consumption_per_100_km_l",8.74918203755124,-3,8
"32",0,0,NA,0,-1,9
"33",54,55,"acceleration_0_100_km.h_s",19.6819513377927,-3,9
"34",56,57,"valves_per_cylinder",1.5,-3,8.76190476190476
"35",58,59,"valves_per_cylinder",3,-3,8
"36",60,61,"X",66071.5,-3,8.72860345239161
"37",62,63,"Year_from",1961,-3,8.96859640821685
"38",64,65,"engine_hp_rpm",5.5,-3,8
