"","left daughter","right daughter","split var","split point","status","prediction"
"1",2,3,"acceleration_0_100_km.h_s",24.75,-3,8.98563942510562
"2",4,5,"engine_hp",30.5,-3,8.98643603045
"3",6,7,"height_mm",1.5,-3,8.54135438899992
"4",8,9,"capacity_cm3",3.5,-3,8.5239862143049
"5",10,11,"Year_from",1996.5,-3,8.98683597840022
"6",12,13,"acceleration_0_100_km.h_s",32.5,-3,8.67909885715991
"7",14,15,"acceleration_0_100_km.h_s",32.1,-3,7.25
"8",16,17,"engine_hp",14,-3,8.11685193278815
"9",18,19,"stroke_cycle_mm",58,-3,8.82491155281727
"10",20,21,"number_of_seats",6.5,-3,8.97483874964152
"11",22,23,"height_mm",1.00457458307597,-3,8.99653339042499
"12",24,25,"Year_from",1960.5,-3,8.83513480521806
"13",26,27,"X",66074.5,-3,8.25
"14",28,29,"city_fuel_per_100km_l",9.95,-3,7.14285714285714
"15",0,0,NA,0,-1,8
"16",0,0,NA,0,-1,8.99324142869931
"17",30,31,"engine_hp",20.5,-3,8
"18",0,0,NA,0,-1,8
"19",32,33,"engine_hp",29.5,-3,8.90347455784749
"20",34,35,"fuel_tank_capacity_l",4.5,-3,8.97820668969599
"21",36,37,"engine_hp",86,-3,8.88136553157895
"22",38,39,"stroke_cycle_mm",60.5,-3,8.99790329452659
"23",40,41,"number_of_gears",4.91703454789045,-3,8.98709575683181
"24",42,43,"mixed_fuel_consumption_per_100_km_l",9.24918203755124,-3,8.6
"25",44,45,"X",70711.5,-3,8.96949755105695
"26",46,47,"cylinder_bore_mm",79.5,-3,8
"27",48,49,"highway_fuel_per_100km_l",6.53979590061247,-3,8.71428571428571
"28",0,0,NA,0,-1,7
"29",0,0,NA,0,-1,7.25
"30",0,0,NA,0,-1,8
"31",50,51,"X",41916.5,-3,8
"32",52,53,"stroke_cycle_mm",84.0497199735871,-3,8.99849809526651
"33",0,0,NA,0,-1,8.33333333333333
"34",54,55,"curb_weight_kg",1.47404840169596,-3,8.94909714055317
"35",56,57,"X",13806,-3,8.98226949239743
"36",58,59,"capacity_cm3",1.5,-3,8.53126360779804
"37",60,61,"X",63691.5,-3,8.9501043452331
"38",62,63,"engine_hp_rpm",5.5,-3,8.96296296296296
"39",64,65,"valves_per_cylinder",3.61505980194624,-3,8.99815857498991
"40",66,67,"engine_hp",179.458139287613,-3,8.98660404855867
"41",68,69,"capacity_cm3",5.5,-3,9
"42",70,71,"turnover_of_maximum_torque_rpm",2.5,-3,8
"43",72,73,"acceleration_0_100_km.h_s",28.5,-3,8.85714285714286
"44",74,75,"capacity_cm3",8,-3,8.99801218491156
"45",0,0,NA,0,-1,8
"46",76,77,"X",66069.5,-3,8
"47",0,0,NA,0,-1,8
"48",0,0,NA,0,-1,8
"49",0,0,NA,0,-1,9
"50",78,79,"number_of_gears",0,-3,8
"51",0,0,NA,0,-1,8
"52",80,81,"stroke_cycle_mm",74,-3,9
"53",0,0,NA,0,-1,8.98648285739862
"54",82,83,"stroke_cycle_mm",89.5,-3,8.90577119649996
"55",84,85,"Year_from",1961,-3,8.96179691463014
"56",86,87,"curb_weight_kg",7,-3,8.9946043452433
"57",88,89,"Year_from",1975.5,-3,8.97687217151503
"58",90,91,"cylinder_bore_mm",79,-3,8.94744612254235
"59",92,93,"number_of_cylinders",5,-3,8.05454545454545
"60",94,95,"stroke_cycle_mm",84.0497199735871,-3,8.97283997231575
"61",96,97,"X",64560,-3,8.81578121511261
"62",0,0,NA,0,-1,8.33333333333333
"63",98,99,"mixed_fuel_consumption_per_100_km_l",9.04918203755124,-3,8.9748427672956
